Year,Country,mental health,social media,Facebook,Instagram,LinkedIn,Snapchat,TikTok,WhatsApp,YouTube,Twitter(X),isPartial
2020,SA,2014.0,4123.0,3947.0,4307.0,4010.0,4104.0,3096.0,4299.0,4312.0,3927.0,0
2021,SA,2337.0,3059.0,3976.0,4502.0,4026.0,2059.0,3187.0,3637.0,4616.0,4016.0,0
2022,SA,2075.0,4187.0,4629.0,4031.0,4022.0,3129.0,3709.0,4123.0,4571.0,3996.0,0
2023,SA,2126.0,4234.0,4574.0,4192.0,4189.0,3441.0,4181.0,4540.0,4634.0,4099.0,0
2024,SA,2506.0,3338.0,2692.0,3271.0,3233.0,3483.0,3062.0,3069.0,3729.0,3396.0,11
